stage,size,n,P50,P99,P999,gap,CI_lo,CI_hi,speedup_vs_stage0
stage0,small,500,7777798.5,7806489.66,7864378.3950000005,28691.16000000015,7800861.39,7825136.79,1.0
stage0,medium,500,52845615.0,53056949.33,53518102.69600002,211334.3299999982,52996173.59,53243076.04,1.0
pytorch_eager,small,10000,715921.0,741311.86,810387.6800000004,25390.859999999986,740841.716,742246.02,10.530641800334882
torchscript,small,10000,648053.0,671251.04,764468.1190000012,23198.040000000037,670360.0,672262.0045,11.629761735639173
onnxruntime,small,10000,520488.5,540613.05,602334.8910000048,20124.550000000047,539566.9725,541569.11,14.440068844065085
numpy,small,2000,2269352.5,2333290.86,2431354.5850000116,63938.35999999987,2321216.0,2339251.24225,3.3456993270011783
