# stage=stage1 size=small precision=fp32 warmup=100 measure=100000 core=3
# isolated_cpus=3 no_turbo=1 perf_paranoid=1
stage,size,precision,iteration,nanoseconds
stage1,small,fp32,0,12623342
stage1,small,fp32,1,12664337
stage1,small,fp32,2,12612586
stage1,small,fp32,3,12651633
stage1,small,fp32,4,12617569
stage1,small,fp32,5,12647258
stage1,small,fp32,6,12651268
stage1,small,fp32,7,12610888
stage1,small,fp32,8,12658401
stage1,small,fp32,9,12637346
stage1,small,fp32,10,12624418
stage1,small,fp32,11,12623143
stage1,small,fp32,12,12630530
stage1,small,fp32,13,12629068
stage1,small,fp32,14,12623688
stage1,small,fp32,15,12605491
stage1,small,fp32,16,12620519
stage1,small,fp32,17,12620297
stage1,small,fp32,18,12621233
stage1,small,fp32,19,12620181
stage1,small,fp32,20,12623623
stage1,small,fp32,21,12624000
stage1,small,fp32,22,12614733
stage1,small,fp32,23,12615525
stage1,small,fp32,24,12612838
stage1,small,fp32,25,12616101
stage1,small,fp32,26,12612993
stage1,small,fp32,27,12622573
stage1,small,fp32,28,12620535
stage1,small,fp32,29,12624836
stage1,small,fp32,30,12615675
stage1,small,fp32,31,12614205
stage1,small,fp32,32,12609741
stage1,small,fp32,33,12619301
stage1,small,fp32,34,12613475
stage1,small,fp32,35,12611776
stage1,small,fp32,36,12615401
stage1,small,fp32,37,12615173
stage1,small,fp32,38,12620357
stage1,small,fp32,39,12620678
stage1,small,fp32,40,12639599
stage1,small,fp32,41,12637943
stage1,small,fp32,42,12634489
stage1,small,fp32,43,12624099
stage1,small,fp32,44,12665738
stage1,small,fp32,45,12615827
stage1,small,fp32,46,12623309
stage1,small,fp32,47,12622801
stage1,small,fp32,48,12621924
stage1,small,fp32,49,12621931
stage1,small,fp32,50,12623068
stage1,small,fp32,51,12621910
stage1,small,fp32,52,12616794
stage1,small,fp32,53,12626954
stage1,small,fp32,54,12621603
stage1,small,fp32,55,12621421
stage1,small,fp32,56,12665587
stage1,small,fp32,57,12659261
stage1,small,fp32,58,12617025
stage1,small,fp32,59,12665074
stage1,small,fp32,60,12702356
stage1,small,fp32,61,12667226
stage1,small,fp32,62,12653395
stage1,small,fp32,63,12627369
stage1,small,fp32,64,12611537
stage1,small,fp32,65,12656692
stage1,small,fp32,66,12647691
stage1,small,fp32,67,12656352
stage1,small,fp32,68,12650840
stage1,small,fp32,69,12648744
stage1,small,fp32,70,12659868
stage1,small,fp32,71,12655050
stage1,small,fp32,72,12656885
stage1,small,fp32,73,12690666
stage1,small,fp32,74,12615574
stage1,small,fp32,75,12654591
stage1,small,fp32,76,12658047
stage1,small,fp32,77,12657444
stage1,small,fp32,78,12693690
stage1,small,fp32,79,12654192
stage1,small,fp32,80,12620417
stage1,small,fp32,81,12621249
stage1,small,fp32,82,12630559
stage1,small,fp32,83,12615568
stage1,small,fp32,84,12704152
stage1,small,fp32,85,12656979
stage1,small,fp32,86,12619169
stage1,small,fp32,87,12618180
stage1,small,fp32,88,12613949
stage1,small,fp32,89,12625543
stage1,small,fp32,90,12628730
stage1,small,fp32,91,12623315
stage1,small,fp32,92,12624351
stage1,small,fp32,93,12619766
stage1,small,fp32,94,12627957
stage1,small,fp32,95,12625733
stage1,small,fp32,96,12625141
stage1,small,fp32,97,12639334
stage1,small,fp32,98,12633930
stage1,small,fp32,99,12621550
stage1,small,fp32,100,12620929
stage1,small,fp32,101,12624851
stage1,small,fp32,102,12631978
stage1,small,fp32,103,12627754
stage1,small,fp32,104,12614823
stage1,small,fp32,105,12631569
stage1,small,fp32,106,12652901
stage1,small,fp32,107,12617758
stage1,small,fp32,108,12624814
stage1,small,fp32,109,12616546
stage1,small,fp32,110,12638390
stage1,small,fp32,111,12620904
stage1,small,fp32,112,12620652
stage1,small,fp32,113,12622976
stage1,small,fp32,114,12622212
stage1,small,fp32,115,12616500
stage1,small,fp32,116,12621247
stage1,small,fp32,117,12622058
stage1,small,fp32,118,12615495
stage1,small,fp32,119,12616357
stage1,small,fp32,120,12614318
stage1,small,fp32,121,12613676
stage1,small,fp32,122,12615223
stage1,small,fp32,123,12618959
stage1,small,fp32,124,12616828
stage1,small,fp32,125,12618659
stage1,small,fp32,126,12610956
stage1,small,fp32,127,12613439
stage1,small,fp32,128,12616830
stage1,small,fp32,129,12617987
stage1,small,fp32,130,12613656
stage1,small,fp32,131,12618186
stage1,small,fp32,132,12617439
stage1,small,fp32,133,12621262
stage1,small,fp32,134,12619477
stage1,small,fp32,135,12618095
stage1,small,fp32,136,12619821
stage1,small,fp32,137,12622782
stage1,small,fp32,138,12609897
stage1,small,fp32,139,12624953
stage1,small,fp32,140,12619337
