# stage=stage3 size=small precision=fp32 warmup=100 measure=100000 core=3
# isolated_cpus=3 no_turbo=1 perf_paranoid=1
stage,size,precision,iteration,nanoseconds
stage3,small,fp32,0,13024427
stage3,small,fp32,1,13006063
stage3,small,fp32,2,13010592
stage3,small,fp32,3,13020687
stage3,small,fp32,4,13014939
stage3,small,fp32,5,13015674
stage3,small,fp32,6,13005407
stage3,small,fp32,7,13002255
stage3,small,fp32,8,13006882
stage3,small,fp32,9,13018142
stage3,small,fp32,10,12998137
stage3,small,fp32,11,13011017
stage3,small,fp32,12,13003567
stage3,small,fp32,13,13018507
stage3,small,fp32,14,13014603
stage3,small,fp32,15,13035847
stage3,small,fp32,16,13017586
stage3,small,fp32,17,13017444
stage3,small,fp32,18,13008315
stage3,small,fp32,19,13022997
stage3,small,fp32,20,13015400
stage3,small,fp32,21,13024195
stage3,small,fp32,22,13019895
stage3,small,fp32,23,13010355
stage3,small,fp32,24,13019226
stage3,small,fp32,25,13023682
stage3,small,fp32,26,13018146
stage3,small,fp32,27,13016410
stage3,small,fp32,28,13010305
stage3,small,fp32,29,13016396
stage3,small,fp32,30,13016745
stage3,small,fp32,31,13017316
stage3,small,fp32,32,13024310
stage3,small,fp32,33,13016223
stage3,small,fp32,34,13024773
stage3,small,fp32,35,13012124
stage3,small,fp32,36,13016475
stage3,small,fp32,37,13018468
stage3,small,fp32,38,13022473
stage3,small,fp32,39,13020615
stage3,small,fp32,40,13017462
stage3,small,fp32,41,13023447
stage3,small,fp32,42,13012358
stage3,small,fp32,43,13024457
stage3,small,fp32,44,13023033
stage3,small,fp32,45,13021894
stage3,small,fp32,46,13017774
stage3,small,fp32,47,13017717
stage3,small,fp32,48,13023056
stage3,small,fp32,49,13015954
stage3,small,fp32,50,13017305
stage3,small,fp32,51,13012840
stage3,small,fp32,52,13015333
stage3,small,fp32,53,13009638
stage3,small,fp32,54,13009788
stage3,small,fp32,55,13017788
stage3,small,fp32,56,13018859
stage3,small,fp32,57,13056973
stage3,small,fp32,58,13019558
stage3,small,fp32,59,13009367
stage3,small,fp32,60,13022161
stage3,small,fp32,61,13013180
stage3,small,fp32,62,13022239
stage3,small,fp32,63,13003560
stage3,small,fp32,64,13022353
stage3,small,fp32,65,13013195
stage3,small,fp32,66,13008027
stage3,small,fp32,67,13001387
stage3,small,fp32,68,13011133
stage3,small,fp32,69,13011381
stage3,small,fp32,70,13022401
stage3,small,fp32,71,13021397
stage3,small,fp32,72,13022411
stage3,small,fp32,73,13023505
stage3,small,fp32,74,13011633
stage3,small,fp32,75,13011753
stage3,small,fp32,76,13011564
stage3,small,fp32,77,13001281
stage3,small,fp32,78,13010797
stage3,small,fp32,79,13009927
stage3,small,fp32,80,13001118
stage3,small,fp32,81,13019424
stage3,small,fp32,82,13001400
stage3,small,fp32,83,13005886
stage3,small,fp32,84,13010859
stage3,small,fp32,85,13011737
stage3,small,fp32,86,13001328
stage3,small,fp32,87,13011830
stage3,small,fp32,88,13020450
stage3,small,fp32,89,13020380
stage3,small,fp32,90,13027354
stage3,small,fp32,91,13018987
stage3,small,fp32,92,13025977
stage3,small,fp32,93,13019867
stage3,small,fp32,94,13024522
stage3,small,fp32,95,13018425
stage3,small,fp32,96,13027722
stage3,small,fp32,97,13010751
stage3,small,fp32,98,13002803
stage3,small,fp32,99,13007692
stage3,small,fp32,100,13011227
stage3,small,fp32,101,13010076
stage3,small,fp32,102,13011927
stage3,small,fp32,103,13012998
stage3,small,fp32,104,13023152
stage3,small,fp32,105,13019812
stage3,small,fp32,106,13013215
stage3,small,fp32,107,13022078
stage3,small,fp32,108,13014770
stage3,small,fp32,109,13014242
stage3,small,fp32,110,13017458
stage3,small,fp32,111,13007628
stage3,small,fp32,112,13015505
stage3,small,fp32,113,13009139
stage3,small,fp32,114,13022629
stage3,small,fp32,115,13022611
stage3,small,fp32,116,13014673
stage3,small,fp32,117,13013528
stage3,small,fp32,118,13013489
stage3,small,fp32,119,13004166
stage3,small,fp32,120,13005104
stage3,small,fp32,121,13014246
stage3,small,fp32,122,13020188
stage3,small,fp32,123,13030446
stage3,small,fp32,124,13012884
stage3,small,fp32,125,13005232
stage3,small,fp32,126,13013422
stage3,small,fp32,127,13014677
stage3,small,fp32,128,13020667
stage3,small,fp32,129,13019628
stage3,small,fp32,130,13020102
stage3,small,fp32,131,13011291
stage3,small,fp32,132,13016261
stage3,small,fp32,133,13008839
stage3,small,fp32,134,13014552
stage3,small,fp32,135,13019268
stage3,small,fp32,136,13018791
stage3,small,fp32,137,13019685
stage3,small,fp32,138,13011624
stage3,small,fp32,139,13014014
stage3,small,fp32,140,13007047
stage3,small,fp32,141,13009382
stage3,small,fp32,142,13021055
stage3,small,fp32,143,13014508
stage3,small,fp32,144,13015856
stage3,small,fp32,145,13003162
stage3,small,fp32,146,13011466
stage3,small,fp32,147,13021299
stage3,small,fp32,148,13023557
stage3,small,fp32,149,13014771
stage3,small,fp32,150,13023148
stage3,small,fp32,151,13024617
stage3,small,fp32,152,13012702
stage3,small,fp32,153,13016656
stage3,small,fp32,154,13014033
stage3,small,fp32,155,13011811
stage3,small,fp32,156,13017728
stage3,small,fp32,157,13020240
stage3,small,fp32,158,13019180
stage3,small,fp32,159,13009555
stage3,small,fp32,160,13020845
stage3,small,fp32,161,13020684
stage3,small,fp32,162,13009884
stage3,small,fp32,163,13002510
stage3,small,fp32,164,13004500
stage3,small,fp32,165,13017036
stage3,small,fp32,166,13010110
stage3,small,fp32,167,13017263
stage3,small,fp32,168,13016116
stage3,small,fp32,169,13002578
stage3,small,fp32,170,13010873
stage3,small,fp32,171,13008654
stage3,small,fp32,172,13009522
stage3,small,fp32,173,13020756
stage3,small,fp32,174,13019959
stage3,small,fp32,175,13010925
stage3,small,fp32,176,13020053
stage3,small,fp32,177,13010488
stage3,small,fp32,178,13012934
stage3,small,fp32,179,13023147
stage3,small,fp32,180,13014548
stage3,small,fp32,181,13021211
stage3,small,fp32,182,13021647
stage3,small,fp32,183,13022768
stage3,small,fp32,184,13029398
stage3,small,fp32,185,13021233
stage3,small,fp32,186,13012364
stage3,small,fp32,187,13020709
stage3,small,fp32,188,13012617
stage3,small,fp32,189,13013655
stage3,small,fp32,190,13004404
stage3,small,fp32,191,13013655
stage3,small,fp32,192,13001962
stage3,small,fp32,193,13022286
stage3,small,fp32,194,13020903
stage3,small,fp32,195,13023042
stage3,small,fp32,196,13019451
stage3,small,fp32,197,13022631
stage3,small,fp32,198,13024481
stage3,small,fp32,199,13011727
stage3,small,fp32,200,13009910
stage3,small,fp32,201,13005248
stage3,small,fp32,202,13001526
stage3,small,fp32,203,13012360
stage3,small,fp32,204,13012760
stage3,small,fp32,205,13012926
stage3,small,fp32,206,13022962
stage3,small,fp32,207,13013898
stage3,small,fp32,208,13021332
stage3,small,fp32,209,13020767
stage3,small,fp32,210,13014187
stage3,small,fp32,211,13001589
stage3,small,fp32,212,13013341
stage3,small,fp32,213,13017620
stage3,small,fp32,214,13016256
stage3,small,fp32,215,13014152
stage3,small,fp32,216,13022617
stage3,small,fp32,217,13012168
stage3,small,fp32,218,13003600
stage3,small,fp32,219,13024153
stage3,small,fp32,220,13017878
stage3,small,fp32,221,13026421
stage3,small,fp32,222,13015914
stage3,small,fp32,223,13013519
stage3,small,fp32,224,13024681
stage3,small,fp32,225,13014436
stage3,small,fp32,226,13005358
stage3,small,fp32,227,13012775
stage3,small,fp32,228,13021021
stage3,small,fp32,229,13014323
stage3,small,fp32,230,13004677
stage3,small,fp32,231,13022622
stage3,small,fp32,232,13010536
stage3,small,fp32,233,13011639
stage3,small,fp32,234,13019356
stage3,small,fp32,235,13010872
